date,open,high,low,close
2020-01-02,3.9191,3.9191,3.9191,3.9191
2020-01-03,3.9254,3.9254,3.9254,3.9254
2020-01-07,3.8992,3.8992,3.8992,3.8992
2020-01-08,3.9245,3.9245,3.9245,3.9245
2020-01-09,3.9265,3.9265,3.9265,3.9265
2020-01-10,3.9265,3.9265,3.9265,3.9265
2020-01-13,3.917,3.917,3.917,3.917
2020-01-14,3.9208,3.9208,3.9208,3.9208
2020-01-15,3.9317,3.9317,3.9317,3.9317
2020-01-16,3.9421,3.9421,3.9421,3.9421
2020-01-17,3.941,3.941,3.941,3.941
2020-01-20,3.9539,3.9539,3.9539,3.9539
2020-01-21,3.9532,3.9532,3.9532,3.9532
2020-01-22,3.9328,3.9328,3.9328,3.9328
2020-01-23,3.9535,3.9535,3.9535,3.9535
2020-01-24,3.9629,3.9629,3.9629,3.9629
2020-01-27,3.9915,3.9915,3.9915,3.9915
2020-01-28,4.0094,4.0094,4.0094,4.0094
2020-01-29,3.9873,3.9873,3.9873,3.9873
2020-01-30,4.0027,4.0027,4.0027,4.0027
2020-01-31,4.0194,4.0194,4.0194,4.0194
2020-02-03,4.0311,4.0311,4.0311,4.0311
2020-02-04,4.0031,4.0031,4.0031,4.0031
2020-02-05,3.9744,3.9744,3.9744,3.9744
2020-02-06,3.968,3.968,3.968,3.968
2020-02-07,3.9908,3.9908,3.9908,3.9908
2020-02-10,3.9889,3.9889,3.9889,3.9889
2020-02-11,3.9947,3.9947,3.9947,3.9947
2020-02-12,4.002,4.002,4.002,4.002
2020-02-13,4.005,4.005,4.005,4.005
2020-02-14,3.9853,3.9853,3.9853,3.9853
2020-02-17,3.9921,3.9921,3.9921,3.9921
2020-02-18,4.0218,4.0218,4.0218,4.0218
2020-02-19,4.0213,4.0213,4.0213,4.0213
2020-02-20,4.0308,4.0308,4.0308,4.0308
2020-02-21,4.0367,4.0367,4.0367,4.0367
2020-02-24,4.0542,4.0542,4.0542,4.0542
2020-02-25,4.0537,4.0537,4.0537,4.0537
2020-02-26,4.0617,4.0617,4.0617,4.0617
2020-02-27,4.0548,4.0548,4.0548,4.0548
2020-02-28,4.0734,4.0734,4.0734,4.0734
2020-03-02,4.0566,4.0566,4.0566,4.0566
2020-03-03,4.0532,4.0532,4.0532,4.0532
2020-03-04,4.0382,4.0382,4.0382,4.0382
2020-03-05,4.0391,4.0391,4.0391,4.0391
2020-03-06,4.0721,4.0721,4.0721,4.0721
2020-03-09,4.0799,4.0799,4.0799,4.0799
2020-03-10,4.0787,4.0787,4.0787,4.0787
2020-03-11,4.0737,4.0737,4.0737,4.0737
2020-03-12,4.119,4.119,4.119,4.119
2020-03-13,4.1307,4.1307,4.1307,4.1307
2020-03-16,4.1624,4.1624,4.1624,4.1624
2020-03-17,4.2467,4.2467,4.2467,4.2467
2020-03-18,4.2474,4.2474,4.2474,4.2474
2020-03-19,4.3536,4.3536,4.3536,4.3536
2020-03-20,4.3124,4.3124,4.3124,4.3124
2020-03-23,4.3214,4.3214,4.3214,4.3214
2020-03-24,4.3563,4.3563,4.3563,4.3563
2020-03-25,4.3137,4.3137,4.3137,4.3137
2020-03-26,4.3197,4.3197,4.3197,4.3197
2020-03-27,4.2675,4.2675,4.2675,4.2675
2020-03-30,4.284,4.284,4.284,4.284
2020-03-31,4.3001,4.3001,4.3001,4.3001
2020-04-01,4.3236,4.3236,4.3236,4.3236
2020-04-02,4.3319,4.3319,4.3319,4.3319
2020-04-03,4.3403,4.3403,4.3403,4.3403
2020-04-06,4.3199,4.3199,4.3199,4.3199
2020-04-07,4.2883,4.2883,4.2883,4.2883
2020-04-08,4.2987,4.2987,4.2987,4.2987
2020-04-09,4.2986,4.2986,4.2986,4.2986
2020-04-10,4.3058,4.3058,4.3058,4.3058
2020-04-14,4.317,4.317,4.317,4.317
2020-04-15,4.3066,4.3066,4.3066,4.3066
2020-04-16,4.3088,4.3088,4.3088,4.3088
